iso3c,country_name,idea_country_name,idea_iso3,lower_quota_type,voluntary_details,quota_voluntary_party,quota_legislated_candidate,quota_reserved_seats,quota_strength_ordinal,has_any_quota,quota_match_status,source_file
ITA,Italy,Italy,ITA,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
JAM,Jamaica,,,,,0,0,0,0,0,manual_review_needed,
JOR,Jordan,Jordan,JOR,Reserved seats,No,0,0,1,3,1,matched,export_table.csv
JPN,Japan,Japan,JPN,-,Yes,1,0,0,1,1,matched,export_table.csv
KAZ,Kazakhstan,Kazakhstan,KAZ,Legislated Candidate Quotas,No,0,1,0,2,1,matched,export_table.csv
KEN,Kenya,Kenya,KEN,Reserved seats,Yes,1,0,1,3,1,matched,export_table.csv
KGZ,Kyrgyzstan,Kyrgyzstan,KGZ,Legislated Candidate Quotas,No,0,1,0,2,1,matched,export_table.csv
KHM,Cambodia,,,,,0,0,0,0,0,manual_review_needed,
KOR,South Korea,"Korea, Republic of",KOR,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
KWT,Kuwait,,,,,0,0,0,0,0,manual_review_needed,
LAO,Laos,,,,,0,0,0,0,0,manual_review_needed,
